City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Constantine,DZ,2022-04-15 08:32:34,36.365,6.6147,54.81,94,75,4.61
236,Roma,US,2022-04-15 08:35:08,43.2128,-75.4557,46.09,85,75,1.01
237,Padang,ID,2022-04-15 08:36:17,-0.9492,100.3543,86.05,68,86,4.99
238,Bethel,US,2022-04-15 08:36:18,41.3712,-73.414,51.94,57,0,0.0
239,Biak,ID,2022-04-15 08:36:18,-0.9131,122.8766,79.84,81,61,1.92
240,Beloha,MG,2022-04-15 08:36:18,-25.1667,45.05,91.49,41,31,6.38
241,San Pedro,PH,2022-04-15 08:36:19,14.35,121.0167,90.32,60,20,10.36
242,Doka,SD,2022-04-15 08:36:19,13.5167,35.7667,103.05,17,36,4.21
243,Remontnoye,RU,2022-04-15 08:36:20,46.5614,43.6501,48.33,90,100,11.43
244,Anadyr,RU,2022-04-15 08:36:20,64.75,177.4833,34.3,80,0,20.13
245,Kirakira,SB,2022-04-15 08:36:20,-10.4544,161.9205,79.93,82,15,4.74
246,Logstor,DK,2022-04-15 08:36:21,56.9624,9.2583,44.87,75,94,14.36
247,Powell River,CA,2022-04-15 08:36:21,49.8496,-124.5361,38.08,63,80,3.8
248,Kenai,US,2022-04-15 08:36:21,60.5544,-151.2583,34.09,85,0,8.05
249,Boende,CD,2022-04-15 08:36:22,-0.2167,20.8667,73.44,91,100,2.15
250,Lompoc,US,2022-04-15 08:36:22,34.6391,-120.4579,51.94,86,75,25.99
251,Katobu,ID,2022-04-15 08:36:22,-4.9408,122.5276,81.14,87,49,4.07
252,Maraba,BR,2022-04-15 08:36:23,-5.3686,-49.1178,77.18,100,40,3.44
253,Alugan,PH,2022-04-15 08:36:23,12.2188,125.4808,81.54,75,79,7.11
254,Abu Samrah,SY,2022-04-15 08:36:23,35.3029,37.1841,67.69,19,43,1.9
255,Thompson,CA,2022-04-15 08:36:24,55.7435,-97.8558,6.96,61,100,16.11
256,Chifeng,CN,2022-04-15 08:36:24,42.2683,118.9636,57.33,13,0,18.95
257,Dunedin,NZ,2022-04-15 08:36:24,-45.8742,170.5036,56.8,82,9,7.0
258,Wajima,JP,2022-04-15 08:36:25,37.4,136.9,48.88,100,75,6.91
259,Husavik,IS,2022-04-15 08:36:25,66.0449,-17.3389,43.63,74,66,13.2
260,Los Andes,CL,2022-04-15 08:36:25,-32.8337,-70.5983,49.01,57,97,1.07
261,Bogorodskoye,RU,2022-04-15 08:36:26,56.55,37.8833,46.11,62,96,2.04
262,Chimoio,MZ,2022-04-15 08:36:26,-19.1164,33.4833,75.06,94,40,4.29
263,Petropavlovsk-Kamchatskiy,RU,2022-04-15 08:32:17,53.0452,158.6483,32.59,47,20,13.42
