City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Galveston,US,29.3669,-94.9669,77.04,92,100,8.05,overcast clouds
157,Cherskiy,RU,68.75,161.3,21.52,92,100,8.97,overcast clouds
158,Mahebourg,MU,-20.4081,57.7,77.29,78,75,14.97,broken clouds
159,San Lorenzo,PY,-25.3333,-57.5333,56.59,87,0,3.44,clear sky
160,San Patricio,US,28.017,-97.5169,75.09,91,58,9.8,broken clouds
161,Maneadero,MX,31.7167,-116.5667,61.11,78,28,1.99,scattered clouds
162,Muravlenko,RU,63.7898,74.523,31.95,100,100,10.71,overcast clouds
163,Kulunda,RU,52.566,78.9385,55.47,24,0,14.92,clear sky
164,Rochegda,RU,62.8,43.25,21.67,91,34,4.14,scattered clouds
165,Mumford,GH,5.2618,-0.759,80.06,81,100,7.09,overcast clouds
166,Pozo Colorado,PY,-23.4923,-58.7972,55.89,70,0,5.55,clear sky
167,Rabo De Peixe,PT,37.8,-25.5833,56.71,88,20,2.3,few clouds
168,Thompson,CA,55.7435,-97.8558,21.36,45,75,8.05,broken clouds
169,Nuuk,GL,64.1835,-51.7216,6.73,81,5,8.25,clear sky
170,Nenjiang,CN,49.1833,125.2167,45.64,19,2,17.2,clear sky
171,Egvekinot,RU,66.3167,-179.1667,17.11,84,100,13.6,overcast clouds
172,Vila Velha,BR,-20.3297,-40.2925,73.35,70,40,6.91,scattered clouds
173,Tasiilaq,GL,65.6145,-37.6368,37.56,97,100,11.99,moderate rain
174,Qaanaaq,GL,77.484,-69.3632,-8.28,97,100,2.15,overcast clouds
175,Kahului,US,20.8947,-156.47,78.82,71,40,21.85,scattered clouds
176,Saint George,US,37.1041,-113.5841,72.19,20,0,9.22,clear sky
177,Mandalgovi,MN,45.7625,106.2708,41.61,30,12,0.78,few clouds
178,Jumla,NP,29.2747,82.1838,61.11,25,0,1.48,clear sky
179,Mandurah,AU,-32.55,115.7,73.9,65,64,14.12,broken clouds
180,Yueyang,CN,29.3333,113.0919,49.8,90,100,14.36,overcast clouds
181,Liverpool,GB,53.4106,-2.9779,49.6,91,100,4.61,overcast clouds
182,Pontian Kecil,MY,1.4801,103.3899,84.52,71,100,6.49,overcast clouds
183,Namibe,AO,-15.1961,12.1522,70.72,80,61,4.34,broken clouds
184,Chokurdakh,RU,70.6333,147.9167,11.82,87,100,5.5,overcast clouds
185,Novoagansk,RU,61.9449,76.6625,44.04,80,100,10.56,overcast clouds
186,Abnub,EG,27.2696,31.1511,62.82,22,4,2.77,clear sky
187,Chantada,ES,42.6088,-7.7712,52.56,94,1,1.41,clear sky
188,Takoradi,GH,4.8845,-1.7554,78.98,84,100,5.35,light rain
189,Gamba,GA,-2.65,10.0,76.82,89,99,1.07,overcast clouds
190,Ponta Do Sol,PT,32.6667,-17.1,66.7,55,95,4.85,overcast clouds
191,Itarema,BR,-2.9248,-39.9167,77.47,86,72,3.09,broken clouds
192,Bemban,MY,2.2684,102.3746,84.0,79,20,4.61,few clouds
193,Havoysund,NO,70.9963,24.6622,37.63,78,100,16.28,overcast clouds
194,Vagur,FO,61.4732,-6.8119,46.35,96,100,14.18,light rain
195,Cayenne,GF,4.9333,-52.3333,81.09,1,40,4.0,scattered clouds
196,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,71,20,5.75,few clouds
197,Khatanga,RU,71.9667,102.5,20.71,93,100,10.09,light snow
198,San Cristobal,VE,7.7669,-72.225,73.58,86,100,2.84,overcast clouds
199,Phibun Mangsahan,TH,15.2447,105.2291,88.09,48,79,10.8,broken clouds
200,Kargil,IN,34.5667,76.1,33.75,50,3,1.9,clear sky
201,Awjilah,LY,29.1081,21.2869,75.6,14,99,26.33,overcast clouds
202,Troitskoye,RU,52.9821,84.6757,52.57,45,2,4.36,clear sky
203,Acapulco,MX,16.8634,-99.8901,80.42,69,0,6.91,clear sky
204,Asau,RO,46.4333,26.4,45.52,83,97,2.3,overcast clouds
205,Makakilo City,US,21.3469,-158.0858,79.12,59,20,17.27,few clouds
206,Black River,JM,18.0264,-77.8487,76.57,77,0,4.0,clear sky
207,San Luis,AR,-33.295,-66.3356,59.34,43,50,11.68,scattered clouds
208,Aklavik,CA,68.2191,-135.0107,6.15,86,100,5.77,overcast clouds
209,Nyurba,RU,63.2842,118.3319,23.27,80,100,4.7,overcast clouds
210,Vredendal,ZA,-31.6683,18.5012,57.51,50,0,10.83,clear sky
211,Alyangula,AU,-13.8483,136.4192,87.67,70,40,8.05,scattered clouds
212,East London,ZA,-33.0153,27.9116,61.29,67,100,5.91,overcast clouds
213,Mandiana,GN,10.6333,-8.6833,81.27,59,79,5.08,broken clouds
214,Vaitape,PF,-16.5167,-151.75,82.44,67,2,14.67,clear sky
215,Novaya Malykla,RU,54.2,49.95,33.01,85,37,6.02,scattered clouds
216,Padang,ID,-0.9492,100.3543,82.98,70,100,0.87,overcast clouds
217,Pangody,RU,65.85,74.4859,24.19,89,100,9.93,overcast clouds
218,Naze,JP,28.3667,129.4833,68.92,58,27,19.8,scattered clouds
219,Kulhudhuffushi,MV,6.6221,73.07,84.27,69,96,8.12,overcast clouds
220,Mananjary,MG,-21.2167,48.3333,75.38,88,74,5.82,light rain
221,Batemans Bay,AU,-35.7167,150.1833,70.11,52,99,4.85,overcast clouds
222,Marfino,RU,55.7028,37.3822,42.75,86,100,6.71,light rain
