City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Dingle,PH,85.15,few clouds,10.9995,122.6711,SEGAYA PROPERTY
344,Pimenta Bueno,BR,71.94,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
347,Sao Joao Da Barra,BR,70.79,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
348,Bandarbeyla,SO,82.87,broken clouds,9.4942,50.8122,JABIR HOTEL
352,Kavaratti,IN,83.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
357,Cockburn Town,TC,77.29,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
358,Kokoda,PG,85.28,overcast clouds,-8.8785,147.7407,Daito Guest House
359,Kutum,SD,70.0,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
361,Fortaleza,BR,82.53,broken clouds,-3.7227,-38.5247,Hotel Sonata de Iracema
364,Kalmunai,LK,83.32,broken clouds,7.4167,81.8167,VS Villa
365,Nisia Floresta,BR,81.41,light rain,-6.0911,-35.2086,Rancho Crepusculo
370,Bubaque,GW,74.53,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
371,Dubai,AE,82.33,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
375,Nabire,ID,84.99,broken clouds,-3.3667,135.4833,Hotel Nusantara I
376,Kwinana,AU,76.33,broken clouds,-32.25,115.7667,Rockingham Apartments
381,Dicabisagan,PH,80.22,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
382,Aden,YE,81.37,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
388,Nhamunda,BR,73.98,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
390,Cabo San Lucas,MX,78.1,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
394,Jalu,LY,75.43,overcast clouds,29.0331,21.5482,صاحبة الفخامة
400,Bafoulabe,ML,89.85,broken clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
401,Bonthe,SL,76.68,broken clouds,7.5264,-12.505,Bonthe Holiday Village
402,Niquero,CU,75.72,scattered clouds,20.0431,-77.5828,Islazul Niquero
406,Biak,ID,83.12,overcast clouds,-0.9131,122.8766,Penginapan Kim
408,Tamiahua,MX,76.42,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
409,Atambua,ID,84.36,broken clouds,-9.1061,124.8925,Kost Alfa Flat
413,Paragominas,BR,72.21,overcast clouds,-2.9667,-47.4833,INOVA
414,Ajdabiya,LY,73.54,overcast clouds,30.7554,20.2263,Almadina Hotel
425,Ribeira Do Pombal,BR,76.37,light rain,-10.8344,-38.5358,Pousada Central
428,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
431,Tura,IN,80.44,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
433,Bengkulu,ID,83.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
439,Inongo,CD,70.61,overcast clouds,-1.95,18.2667,Hotel Du Lac
440,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
441,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
444,Freetown,SL,75.22,clear sky,8.484,-13.2299,The Country Lodge Hotel
451,Sao Gabriel Da Cachoeira,BR,72.05,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
457,Coahuayana,MX,71.01,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
460,Nhulunbuy,AU,79.41,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
462,Nazira,IN,74.55,overcast clouds,26.9167,94.7333,Hotel Villa & Restaurant Fruition
465,Tshikapa,CD,71.22,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
467,Akyab,MM,86.54,broken clouds,20.15,92.9,Hotel Memory
468,Sonari,IN,71.65,overcast clouds,27.0667,95.0333,Hotel Green View
470,Carutapera,BR,75.65,overcast clouds,-1.195,-46.02,Lidera
478,Meulaboh,ID,83.79,broken clouds,4.1363,96.1285,Kost Pria
479,Port Blair,IN,87.84,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
480,Mogadishu,SO,81.03,overcast clouds,2.0371,45.3438,Hotel Juba
488,Mareeba,AU,82.49,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
489,Venado,MX,74.12,scattered clouds,22.9333,-101.0833,Los 7 Callejones Hotel
490,Maxixe,MZ,73.71,moderate rain,-23.8597,35.3472,Oceano
491,Gweta,BW,71.42,overcast clouds,-20.1833,25.2333,Gweta Lodge
494,Moerai,PF,80.53,few clouds,-22.4333,-151.3333,Le Manotel
496,San-Pedro,CI,76.6,overcast clouds,4.7485,-6.6363,Hotel Maria
499,Borba,BR,73.74,light rain,-4.3878,-59.5939,Hotel da Amazônia
501,Tulum,MX,76.41,clear sky,20.2167,-87.4667,Kin Ha Tulum
503,Perth,AU,76.03,scattered clouds,-31.9333,115.8333,Quest on Rheola
507,Kapoeta,SS,73.38,overcast clouds,4.7717,33.5903,Eastgate Hotel
511,Matara,LK,84.49,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
514,Lazaro Cardenas,MX,74.88,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
519,Samarai,PG,83.91,overcast clouds,-10.6167,150.6667,Nuli Sapi
520,Ternate,ID,86.07,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
522,Muli,MV,83.64,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
527,Celestun,MX,80.11,broken clouds,20.8667,-90.4,Posada Lilia
530,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
532,Sambhar,IN,87.73,clear sky,26.9167,75.2,Sambhar Heritage Resort
534,Christchurch,NZ,75.4,broken clouds,-43.5333,172.6333,The George
535,The Valley,AI,78.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
543,Vangaindrano,MG,74.32,overcast clouds,-23.35,47.6,Hotel Fanilo
545,Charters Towers,AU,84.87,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
546,Samana,DO,74.1,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
548,Macau,MO,77.86,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
549,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
551,Point Fortin,TT,76.89,overcast clouds,10.1833,-61.6833,Jus Les' Suites
552,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
553,Tutoia,BR,78.44,overcast clouds,-2.7619,-42.2744,Pousada Guará's
554,Sao Felix Do Xingu,BR,71.62,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
558,Wanning,CN,82.17,scattered clouds,18.8003,110.3967,Paradise Hotel
566,Faaa,PF,87.76,scattered clouds,-17.55,-149.6,Tahiti Nui Hotel
569,Terre-De-Bas,GP,76.51,few clouds,15.8501,-61.6442,Hôtel Bois Joli
571,Port Lincoln,AU,73.94,clear sky,-34.7333,135.8667,Port Lincoln Hotel
572,Sambava,MG,77.07,light rain,-14.2667,50.1667,Melrose
579,Tabuk,PH,78.35,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
583,Axim,GH,78.84,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
585,Ascension,US,75.2,broken clouds,30.2169,-90.9001,Highland Inn
588,Luganville,VU,83.98,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
592,Najran,SA,72.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
598,Bull Savanna,JM,74.21,clear sky,17.8868,-77.5902,Big Red's
599,Guarapari,BR,71.89,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
605,Kupang,ID,86.85,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
608,Bahia Honda,CU,75.79,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
611,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
615,Mersing,MY,82.31,scattered clouds,2.4312,103.8405,Timotel Hotel
617,Saint-Pierre,RE,73.9,clear sky,-21.3393,55.4781,Lindsey Hôtel
618,Zinder,NE,80.17,overcast clouds,13.8072,8.9881,Hotel de Ville
621,Sharjah,AE,82.38,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
626,Nova Vicosa,BR,78.08,overcast clouds,-17.8919,-39.3719,Pousada Porto do Sol
627,Ndioum,SN,75.38,clear sky,16.5129,-14.6471,l'hôtel samassa
630,Vao,NC,76.42,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
634,Katobu,ID,88.88,overcast clouds,-4.9408,122.5276,La Ode Husein
635,Sattenapalle,IN,89.35,broken clouds,16.4,80.1833,Subhani hot hot tiffen ceanter
637,La Libertad,EC,71.67,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
642,Makaha,US,80.51,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
646,Imphal,IN,71.51,mist,24.8167,93.95,State Guest House
650,Ninh Binh,VN,81.16,overcast clouds,20.2539,105.975,Kinh Do Hotel
653,Yilan,TW,73.02,overcast clouds,24.757,121.753,Dar Chen Hotel
655,Gorontalo,ID,84.97,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
656,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
658,Mandera,KE,79.63,overcast clouds,3.9366,41.867,Hiren Hotel Mandera
659,Palu,ID,87.89,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
663,Harper,LR,78.31,moderate rain,4.375,-7.7169,Screensaver
664,Ormara,PK,79.75,clear sky,25.2088,64.6357,Kenara Colony house for Rent
673,Niquelandia,BR,70.5,overcast clouds,-14.4739,-48.4597,Hotel Suinã
677,Ojinaga,MX,80.56,clear sky,29.5667,-104.4167,Suites Las Palmas
682,Acarau,BR,78.1,broken clouds,-2.8856,-40.12,castelo pizzaria
684,Nizwa,OM,86.16,scattered clouds,22.9333,57.5333,Orient Apartments
685,Saint-Joseph,RE,71.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
689,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
690,Doka,SD,84.15,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
693,Progreso,MX,83.1,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
699,Issia,CI,72.82,light rain,6.4922,-6.5856,Résidence Hôtel Ange Anaé
700,Barinas,VE,80.64,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
701,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
